Store,Date,Amount,Currency
8259,1/20/2024,0,PEN
8260,1/14/2024,0,PEN
8260,1/15/2024,0,PEN
8260,1/16/2024,0,PEN
8260,1/17/2024,0,PEN
8260,1/18/2024,0,PEN
8260,1/19/2024,0,PEN
8260,1/20/2024,0,PEN
8444,1/14/2024,0,PEN
8444,1/15/2024,0,PEN
8444,1/16/2024,0,PEN
8444,1/17/2024,0,PEN
8444,1/18/2024,0,PEN
8444,1/19/2024,0,PEN
8444,1/20/2024,0,PEN
8445,1/14/2024,0,PEN
8445,1/15/2024,0,PEN
8445,1/16/2024,0,PEN
8445,1/17/2024,0,PEN
8445,1/18/2024,0,PEN
8445,1/19/2024,0,PEN
8445,1/20/2024,0,PEN
8446,1/14/2024,0,PEN
8446,1/15/2024,0,PEN
8446,1/16/2024,0,PEN
8446,1/17/2024,0,PEN
8446,1/18/2024,0,PEN
8446,1/19/2024,0,PEN
8446,1/20/2024,0,PEN
8528,1/14/2024,0,PEN
8528,1/15/2024,0,PEN
8528,1/16/2024,0,PEN
8528,1/17/2024,0,PEN
8528,1/18/2024,0,PEN
8528,1/19/2024,0,PEN
8528,1/20/2024,0,PEN
8529,1/14/2024,0,PEN
8529,1/15/2024,0,PEN
8529,1/16/2024,0,PEN
8529,1/17/2024,0,PEN
8529,1/18/2024,0,PEN
8529,1/19/2024,0,PEN
8529,1/20/2024,0,PEN
8531,1/14/2024,0,PEN
8531,1/15/2024,0,PEN
8531,1/16/2024,0,PEN
8531,1/17/2024,0,PEN
8531,1/18/2024,0,PEN
8531,1/19/2024,0,PEN
8531,1/20/2024,0,PEN
8582,1/14/2024,0,PEN
8582,1/15/2024,0,PEN
8582,1/16/2024,0,PEN
8582,1/17/2024,0,PEN
8582,1/18/2024,0,PEN
8582,1/19/2024,0,PEN
8582,1/20/2024,0,PEN
8583,1/14/2024,0,PEN
8583,1/15/2024,0,PEN
8583,1/16/2024,0,PEN
8583,1/17/2024,0,PEN
8583,1/18/2024,0,PEN
8583,1/19/2024,0,PEN
8583,1/20/2024,0,PEN
8584,1/14/2024,0,PEN
8584,1/15/2024,0,PEN
8584,1/16/2024,0,PEN
8584,1/17/2024,0,PEN
8584,1/18/2024,0,PEN
8584,1/19/2024,0,PEN
8584,1/20/2024,0,PEN
8644,1/14/2024,0,PEN
8644,1/15/2024,0,PEN
8644,1/16/2024,0,PEN
8644,1/17/2024,0,PEN
8644,1/18/2024,0,PEN
8644,1/19/2024,0,PEN
8644,1/20/2024,0,PEN
8646,1/14/2024,0,PEN
8646,1/15/2024,0,PEN
8646,1/16/2024,0,PEN
8646,1/17/2024,0,PEN
8646,1/18/2024,0,PEN
8646,1/19/2024,0,PEN
